Date,Month,Job openings rate,Unemployment rate,Period
2005-01-01,2005 JAN,2.4,4.7,2005-2012
2005-02-01,2005 FEB,2.3,4.7,2005-2012
2005-03-01,2005 MAR,2.3,4.7,2005-2012
2005-04-01,2005 APR,2.3,4.7,2005-2012
2005-05-01,2005 MAY,2.3,4.8,2005-2012
2005-06-01,2005 JUN,2.3,4.7,2005-2012
2005-07-01,2005 JUL,2.3,4.7,2005-2012
2005-08-01,2005 AUG,2.3,4.8,2005-2012
2005-09-01,2005 SEP,2.2,4.8,2005-2012
2005-10-01,2005 OCT,2.2,4.7,2005-2012
2005-11-01,2005 NOV,2.2,4.7,2005-2012
2005-12-01,2005 DEC,2.2,4.7,2005-2012
2006-01-01,2006 JAN,2.2,4.9,2005-2012
2006-02-01,2006 FEB,2.2,5.1,2005-2012
2006-03-01,2006 MAR,2.2,5.1,2005-2012
2006-04-01,2006 APR,2.2,5.1,2005-2012
2006-05-01,2006 MAY,2.2,5.2,2005-2012
2006-06-01,2006 JUN,2.2,5.2,2005-2012
2006-07-01,2006 JUL,2.2,5.3,2005-2012
2006-08-01,2006 AUG,2.2,5.4,2005-2012
2006-09-01,2006 SEP,2.2,5.5,2005-2012
2006-10-01,2006 OCT,2.2,5.5,2005-2012
2006-11-01,2006 NOV,2.2,5.5,2005-2012
2006-12-01,2006 DEC,2.2,5.5,2005-2012
2007-01-01,2007 JAN,2.2,5.5,2005-2012
2007-02-01,2007 FEB,2.3,5.4,2005-2012
2007-03-01,2007 MAR,2.3,5.5,2005-2012
2007-04-01,2007 APR,2.3,5.5,2005-2012
2007-05-01,2007 MAY,2.4,5.5,2005-2012
2007-06-01,2007 JUN,2.4,5.5,2005-2012
2007-07-01,2007 JUL,2.4,5.5,2005-2012
2007-08-01,2007 AUG,2.5,5.4,2005-2012
2007-09-01,2007 SEP,2.5,5.4,2005-2012
2007-10-01,2007 OCT,2.5,5.3,2005-2012
2007-11-01,2007 NOV,2.5,5.3,2005-2012
2007-12-01,2007 DEC,2.4,5.3,2005-2012
2008-01-01,2008 JAN,2.4,5.2,2005-2012
2008-02-01,2008 FEB,2.5,5.2,2005-2012
2008-03-01,2008 MAR,2.5,5.2,2005-2012
2008-04-01,2008 APR,2.4,5.2,2005-2012
2008-05-01,2008 MAY,2.3,5.2,2005-2012
2008-06-01,2008 JUN,2.3,5.2,2005-2012
2008-07-01,2008 JUL,2.2,5.3,2005-2012
2008-08-01,2008 AUG,2.2,5.2,2005-2012
2008-09-01,2008 SEP,2.1,5.4,2005-2012
2008-10-01,2008 OCT,2,5.5,2005-2012
2008-11-01,2008 NOV,1.9,5.7,2005-2012
2008-12-01,2008 DEC,1.8,5.9,2005-2012
2009-01-01,2009 JAN,1.7,6,2005-2012
2009-02-01,2009 FEB,1.7,6.2,2005-2012
2009-03-01,2009 MAR,1.7,6.4,2005-2012
2009-04-01,2009 APR,1.6,6.5,2005-2012
2009-05-01,2009 MAY,1.6,6.7,2005-2012
2009-06-01,2009 JUN,1.6,7.1,2005-2012
2009-07-01,2009 JUL,1.6,7.3,2005-2012
2009-08-01,2009 AUG,1.6,7.6,2005-2012
2009-09-01,2009 SEP,1.6,7.8,2005-2012
2009-10-01,2009 OCT,1.6,7.9,2005-2012
2009-11-01,2009 NOV,1.7,7.9,2005-2012
2009-12-01,2009 DEC,1.7,7.8,2005-2012
2010-01-01,2010 JAN,1.7,7.9,2005-2012
2010-02-01,2010 FEB,1.7,7.8,2005-2012
2010-03-01,2010 MAR,1.7,7.8,2005-2012
2010-04-01,2010 APR,1.8,7.7,2005-2012
2010-05-01,2010 MAY,1.8,7.9,2005-2012
2010-06-01,2010 JUN,1.8,8,2005-2012
2010-07-01,2010 JUL,1.7,8,2005-2012
2010-08-01,2010 AUG,1.7,7.9,2005-2012
2010-09-01,2010 SEP,1.7,7.9,2005-2012
2010-10-01,2010 OCT,1.8,7.8,2005-2012
2010-11-01,2010 NOV,1.8,7.8,2005-2012
2010-12-01,2010 DEC,1.8,7.8,2005-2012
2011-01-01,2011 JAN,1.8,7.9,2005-2012
2011-02-01,2011 FEB,1.8,7.9,2005-2012
2011-03-01,2011 MAR,1.7,7.9,2005-2012
2011-04-01,2011 APR,1.7,7.9,2005-2012
2011-05-01,2011 MAY,1.7,7.8,2005-2012
2011-06-01,2011 JUN,1.7,7.8,2005-2012
2011-07-01,2011 JUL,1.7,7.7,2005-2012
2011-08-01,2011 AUG,1.7,7.8,2005-2012
2011-09-01,2011 SEP,1.7,7.9,2005-2012
2011-10-01,2011 OCT,1.7,8,2005-2012
2011-11-01,2011 NOV,1.7,8.2,2005-2012
2011-12-01,2011 DEC,1.7,8.3,2005-2012
2012-01-01,2012 JAN,1.7,8.4,2005-2012
2012-02-01,2012 FEB,1.7,8.5,2005-2012
2012-03-01,2012 MAR,1.7,8.4,2005-2012
2012-04-01,2012 APR,1.7,8.4,2005-2012
2012-05-01,2012 MAY,1.7,8.3,2005-2012
2012-06-01,2012 JUN,1.8,8.2,2005-2012
2012-07-01,2012 JUL,1.8,8.2,2005-2012
2012-08-01,2012 AUG,1.8,8.1,2005-2012
2012-09-01,2012 SEP,1.8,8,2005-2012
2012-10-01,2012 OCT,1.8,8,2005-2012
2012-11-01,2012 NOV,1.8,7.9,2005-2012
2012-12-01,2012 DEC,1.8,7.9,2005-2012
2013-01-01,2013 JAN,1.8,7.9,2013-2020
2013-02-01,2013 FEB,1.8,7.8,2013-2020
2013-03-01,2013 MAR,1.9,7.8,2013-2020
2013-04-01,2013 APR,1.9,7.8,2013-2020
2013-05-01,2013 MAY,1.9,8,2013-2020
2013-06-01,2013 JUN,1.9,7.8,2013-2020
2013-07-01,2013 JUL,1.9,7.8,2013-2020
2013-08-01,2013 AUG,2,7.8,2013-2020
2013-09-01,2013 SEP,2,7.7,2013-2020
2013-10-01,2013 OCT,2.1,7.7,2013-2020
2013-11-01,2013 NOV,2.1,7.7,2013-2020
2013-12-01,2013 DEC,2.1,7.6,2013-2020
2014-01-01,2014 JAN,2.1,7.4,2013-2020
2014-02-01,2014 FEB,2.2,7.2,2013-2020
2014-03-01,2014 MAR,2.2,7.2,2013-2020
2014-04-01,2014 APR,2.3,7.2,2013-2020
2014-05-01,2014 MAY,2.3,6.9,2013-2020
2014-06-01,2014 JUN,2.4,6.8,2013-2020
2014-07-01,2014 JUL,2.4,6.6,2013-2020
2014-08-01,2014 AUG,2.4,6.4,2013-2020
2014-09-01,2014 SEP,2.5,6.3,2013-2020
2014-10-01,2014 OCT,2.5,6.1,2013-2020
2014-11-01,2014 NOV,2.5,6,2013-2020
2014-12-01,2014 DEC,2.5,6,2013-2020
2015-01-01,2015 JAN,2.5,6,2013-2020
2015-02-01,2015 FEB,2.5,5.9,2013-2020
2015-03-01,2015 MAR,2.5,5.7,2013-2020
2015-04-01,2015 APR,2.5,5.7,2013-2020
2015-05-01,2015 MAY,2.5,5.6,2013-2020
2015-06-01,2015 JUN,2.5,5.5,2013-2020
2015-07-01,2015 JUL,2.6,5.5,2013-2020
2015-08-01,2015 AUG,2.5,5.6,2013-2020
2015-09-01,2015 SEP,2.6,5.6,2013-2020
2015-10-01,2015 OCT,2.6,5.5,2013-2020
2015-11-01,2015 NOV,2.6,5.4,2013-2020
2015-12-01,2015 DEC,2.6,5.3,2013-2020
2016-01-01,2016 JAN,2.5,5.2,2013-2020
2016-02-01,2016 FEB,2.5,5.1,2013-2020
2016-03-01,2016 MAR,2.5,5.1,2013-2020
2016-04-01,2016 APR,2.5,5.1,2013-2020
2016-05-01,2016 MAY,2.5,5.1,2013-2020
2016-06-01,2016 JUN,2.5,5.1,2013-2020
2016-07-01,2016 JUL,2.5,5,2013-2020
2016-08-01,2016 AUG,2.6,4.9,2013-2020
2016-09-01,2016 SEP,2.6,4.9,2013-2020
2016-10-01,2016 OCT,2.6,4.9,2013-2020
2016-11-01,2016 NOV,2.6,5,2013-2020
2016-12-01,2016 DEC,2.6,4.8,2013-2020
2017-01-01,2017 JAN,2.6,4.8,2013-2020
2017-02-01,2017 FEB,2.6,4.8,2013-2020
2017-03-01,2017 MAR,2.6,4.7,2013-2020
2017-04-01,2017 APR,2.6,4.7,2013-2020
2017-05-01,2017 MAY,2.6,4.6,2013-2020
2017-06-01,2017 JUN,2.6,4.6,2013-2020
2017-07-01,2017 JUL,2.6,4.5,2013-2020
2017-08-01,2017 AUG,2.7,4.4,2013-2020
2017-09-01,2017 SEP,2.7,4.4,2013-2020
2017-10-01,2017 OCT,2.7,4.3,2013-2020
2017-11-01,2017 NOV,2.7,4.3,2013-2020
2017-12-01,2017 DEC,2.8,4.3,2013-2020
2018-01-01,2018 JAN,2.7,4.2,2013-2020
2018-02-01,2018 FEB,2.7,4.3,2013-2020
2018-03-01,2018 MAR,2.7,4.4,2013-2020
2018-04-01,2018 APR,2.7,4.3,2013-2020
2018-05-01,2018 MAY,2.8,4.2,2013-2020
2018-06-01,2018 JUN,2.8,4.2,2013-2020
2018-07-01,2018 JUL,2.8,4.2,2013-2020
2018-08-01,2018 AUG,2.8,4.2,2013-2020
2018-09-01,2018 SEP,2.9,4,2013-2020
2018-10-01,2018 OCT,2.9,4,2013-2020
2018-11-01,2018 NOV,2.8,4,2013-2020
2018-12-01,2018 DEC,2.9,4.1,2013-2020
2019-01-01,2019 JAN,2.8,4.1,2013-2020
2019-02-01,2019 FEB,2.8,4,2013-2020
2019-03-01,2019 MAR,2.8,4,2013-2020
2019-04-01,2019 APR,2.7,3.9,2013-2020
2019-05-01,2019 MAY,2.7,3.9,2013-2020
2019-06-01,2019 JUN,2.7,3.8,2013-2020
2019-07-01,2019 JUL,2.7,3.8,2013-2020
2019-08-01,2019 AUG,2.7,3.8,2013-2020
2019-09-01,2019 SEP,2.7,3.9,2013-2020
2019-10-01,2019 OCT,2.6,3.8,2013-2020
2019-11-01,2019 NOV,2.7,3.9,2013-2020
2019-12-01,2019 DEC,2.7,3.8,2013-2020
2020-01-01,2020 JAN,2.7,3.8,2013-2020
2020-02-01,2020 FEB,2.6,3.8,2013-2020
2020-03-01,2020 MAR,2.1,3.8,2020-2023
2020-04-01,2020 APR,1.6,3.9,2020-2023
2020-05-01,2020 MAY,1.1,4,2020-2023
2020-06-01,2020 JUN,1.2,4,2020-2023
2020-07-01,2020 JUL,1.4,4.1,2020-2023
2020-08-01,2020 AUG,1.6,4.1,2020-2023
2020-09-01,2020 SEP,1.8,4.1,2020-2023
2020-10-01,2020 OCT,1.8,4.3,2020-2023
2020-11-01,2020 NOV,2,4.6,2020-2023
2020-12-01,2020 DEC,2.1,4.9,2020-2023
2021-01-01,2021 JAN,2.1,5.1,2020-2023
2021-02-01,2021 FEB,2.1,5.1,2020-2023
2021-03-01,2021 MAR,2.2,5.2,2020-2023
2021-04-01,2021 APR,2.5,5.1,2020-2023
2021-05-01,2021 MAY,2.8,5.1,2020-2023
2021-06-01,2021 JUN,3.2,4.9,2020-2023
2021-07-01,2021 JUL,3.5,4.9,2020-2023
2021-08-01,2021 AUG,3.7,4.9,2020-2023
2021-09-01,2021 SEP,3.9,4.7,2020-2023
2021-10-01,2021 OCT,4,4.6,2020-2023
2021-11-01,2021 NOV,4.1,4.4,2020-2023
2021-12-01,2021 DEC,4.2,4.3,2020-2023
2022-01-01,2022 JAN,4.2,4.2,2020-2023
2022-02-01,2022 FEB,4.2,4.1,2020-2023
2022-03-01,2022 MAR,4.3,4,2020-2023
2022-04-01,2022 APR,4.3,4,2020-2023
2022-05-01,2022 MAY,4.2,3.8,2020-2023
2022-06-01,2022 JUN,4.2,3.7,2020-2023
2022-07-01,2022 JUL,4.1,3.8,2020-2023
2022-08-01,2022 AUG,4.1,3.8,2020-2023
2022-09-01,2022 SEP,4,3.8,2020-2023
2022-10-01,2022 OCT,3.9,3.6,2020-2023
2022-11-01,2022 NOV,3.8,3.5,2020-2023
2022-12-01,2022 DEC,3.7,3.6,2020-2023