Date,Total
10/31/2022,1.08384E+11
12/31/2021,1.04029E+11
12/31/2020,1.0589E+11
12/31/2019,73536345315
12/31/2018,61821792421
12/31/2017,46107666542
12/31/2016,55750278788
12/31/2015,57333751899
12/31/2014,75334319046
12/31/2013,90073641743
12/31/2012,95808640755
12/31/2011,92585525384
12/31/2010,60439448644
12/31/2009,42300847722
12/31/2008,21487336753
12/31/2007,9833092338
12/31/2006,13666660759
12/31/2005,34714264905
12/31/2004,62139796027
12/31/2003,71912955980
12/31/2002,70469729806
12/31/2001,59901804093
12/31/2000,49322126517
12/31/1999,57496136237
12/31/1998,66739842976
12/31/1997,52568901205
12/31/1996,42009082557
12/31/1995,41586611940
12/31/1994,30211445450
12/31/1993,29139537930
12/31/1992,27771636514
12/31/1991,26664291722
12/31/1990,23303762710
12/31/1989,24649990786
12/31/1988,26523969177
12/31/1987,30618322055
12/31/1986,35348075575
12/31/1985,37665035197
12/31/1984,37706647293